sno,dvcat,weight,Survived,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
51,40-54,51.366,Not_Survived,airbag,none,1,f,18,1997,1996,deploy,driver,1,4,0.559733796
52,24-Oct,51.366,Not_Survived,none,none,1,m,61,1997,1989,unavail,driver,0,4,0.562511574
53,25-39,67.547,Not_Survived,none,none,1,f,70,1997,1989,unavail,pass,0,4,0.568773148
54,24-Oct,57.049,Not_Survived,airbag,none,0,m,33,1997,1994,nodeploy,driver,0,4,0.581956019
55,24-Oct,57.049,Not_Survived,airbag,none,0,m,29,1997,1994,nodeploy,pass,0,4,0.581956019
56,25-39,57.049,Not_Survived,none,none,0,m,35,1997,1992,unavail,driver,0,4,0.582650463
57,40-54,192.624,Not_Survived,none,belted,0,m,58,1997,1992,unavail,driver,0,4,0.602094907
58,55+,31.342,Not_Survived,none,none,0,m,46,1997,1984,unavail,driver,0,4,12:12:01
59,24-Oct,55.613,Not_Survived,none,none,1,f,91,1997,1991,unavail,pass,0,4,12:21:02
60,40-54,49.676,Not_Survived,none,none,0,m,33,1997,1984,unavail,driver,0,4,12:33:01
61,55+,31.342,Not_Survived,airbag,none,1,f,47,1997,1997,deploy,driver,1,4,0.545150463
62,55+,31.342,Not_Survived,airbag,none,1,m,38,1997,1997,deploy,pass,1,4,0.545150463
63,40-54,50.838,Not_Survived,airbag,belted,0,m,33,1997,1995,deploy,driver,1,4,0.550011574
64,40-54,50.838,Not_Survived,airbag,belted,0,f,31,1997,1995,deploy,pass,1,4,0.550011574
65,40-54,50.838,Not_Survived,none,none,0,m,25,1997,1976,unavail,driver,0,4,0.550706019
66,25-39,31.342,Not_Survived,none,belted,1,f,82,1997,1986,unavail,pass,0,4,0.560428241
67,24-Oct,31.342,Not_Survived,none,none,0,m,27,1997,1986,unavail,driver,0,4,0.581261574
68,24-Oct,34.053,Not_Survived,airbag,belted,0,f,78,1997,1995,nodeploy,pass,0,3,0.588206019
69,40-54,31.342,Not_Survived,airbag,belted,0,f,75,1997,1994,nodeploy,driver,0,4,0.596539352
70,25-39,31.642,Not_Survived,airbag,belted,0,f,59,1997,1996,deploy,driver,1,4,0.600706019
71,25-39,31.642,Not_Survived,none,belted,0,f,72,1997,1987,unavail,pass,0,4,0.601412037
72,24-Oct,31.642,Not_Survived,none,belted,1,f,32,1997,1991,unavail,driver,0,4,0.602094907
73,40-54,31.642,Not_Survived,none,none,0,f,18,1997,1989,unavail,driver,0,4,0.602800926
74,40-54,31.342,Not_Survived,none,none,0,m,18,1997,1979,unavail,driver,0,4,0.61181713
75,25-39,31.342,Not_Survived,airbag,none,1,m,22,1997,1997,deploy,driver,1,4,0.615983796
76,24-Oct,31.342,Not_Survived,airbag,none,1,f,45,1997,1997,deploy,driver,1,4,0.640983796
77,25-39,35.28,Not_Survived,none,belted,1,m,39,1997,1988,unavail,driver,0,4,0.662511574
78,55+,35.28,Not_Survived,none,belted,1,f,47,1997,1991,unavail,driver,0,4,0.663217593
79,55+,35.28,Not_Survived,none,belted,1,m,43,1997,1989,unavail,driver,0,4,0.663229167
80,40-54,31.342,Not_Survived,airbag,none,0,f,63,1997,1997,deploy,driver,1,4,0.668761574
81,40-54,89.92,Not_Survived,airbag,belted,0,f,21,1997,1995,nodeploy,driver,0,4,13:23:01
82,25-39,89.92,Not_Survived,none,none,1,f,65,1997,1987,unavail,pass,0,4,0.626412037
83,40-54,89.92,Not_Survived,none,none,1,f,70,1997,1990,unavail,driver,0,4,0.630578704
84,25-39,89.92,Not_Survived,none,none,1,m,75,1997,1988,unavail,pass,0,4,0.631273148
85,25-39,89.92,Not_Survived,airbag,none,0,m,83,1997,1991,nodeploy,pass,0,4,0.633356481
86,55+,89.92,Not_Survived,none,none,1,m,20,1997,1990,unavail,pass,0,4,0.634733796
87,55+,89.92,Not_Survived,none,none,1,m,74,1997,1986,unavail,driver,0,4,0.652789352
88,25-39,89.92,Not_Survived,none,none,1,m,17,1997,1989,unavail,driver,0,4,0.672233796
89,25-39,35.613,Not_Survived,none,none,0,m,44,1997,1987,unavail,driver,0,4,41:27:01
90,55+,30.504,Not_Survived,airbag,belted,0,f,56,1997,1995,deploy,driver,1,4,41:59:01
91,40-54,30.504,Not_Survived,airbag,belted,0,m,29,1997,1995,deploy,pass,1,4,41:98:1
92,25-39,30.504,Not_Survived,none,none,0,f,57,1997,1990,unavail,pass,0,4,41:123:1
93,25-39,32.486,Not_Survived,airbag,none,0,m,24,1997,1994,deploy,driver,1,4,41:143:1
94,55+,32.486,Not_Survived,none,belted,1,m,29,1997,1995,unavail,driver,0,4,41:144:1
95,25-39,35.009,Not_Survived,airbag,none,1,m,77,1997,1996,deploy,driver,1,3,41:157:2
96,55+,39.121,Not_Survived,airbag,none,0,m,72,1997,1996,deploy,driver,1,4,41:175:1
97,25-39,30.504,Not_Survived,none,none,0,f,37,1997,1988,unavail,driver,0,4,41:179:2
98,40-54,41.253,Not_Survived,none,belted,1,f,47,1997,1989,unavail,driver,0,4,43:54:01
99,40-54,41.253,Not_Survived,airbag,belted,0,f,72,1997,1994,deploy,pass,1,4,43:78:2
100,55+,41.253,Not_Survived,none,belted,1,m,55,1997,1986,unavail,driver,0,4,43:156:1
101,55+,41.253,Not_Survived,none,none,1,m,26,1997,1978,unavail,driver,0,4,43:170:1
102,25-39,41.253,Not_Survived,none,belted,1,f,73,1997,1988,unavail,driver,0,4,43:176:1
103,40-54,41.253,Not_Survived,airbag,belted,1,m,23,1997,1995,deploy,driver,1,4,43:180:1
104,40-54,41.253,Not_Survived,airbag,none,0,f,22,1997,1995,deploy,driver,1,4,43:192:1
105,40-54,38.595,Not_Survived,none,belted,1,f,72,1997,1994,unavail,driver,0,3,43:202:1
106,40-54,41.253,Not_Survived,none,none,1,f,27,1997,1984,unavail,driver,0,4,43:230:2
107,25-39,41.253,Not_Survived,none,belted,1,m,39,1997,1966,unavail,driver,0,4,43:231:2
108,55+,63.633,Not_Survived,none,belted,0,m,70,1997,1987,unavail,driver,0,4,43:281:1
109,55+,63.633,Not_Survived,none,belted,0,f,71,1997,1987,unavail,pass,0,4,43:281:1
110,24-Oct,77.486,Not_Survived,none,belted,0,m,82,1997,1992,unavail,pass,0,3,45:09:01
111,55+,45.255,Not_Survived,none,belted,1,m,30,1997,1989,unavail,driver,0,4,45:14:02
112,40-54,52.345,Not_Survived,none,none,0,f,75,1997,1987,unavail,driver,0,4,45:17:01
113,55+,63.272,Not_Survived,none,none,1,f,36,1997,1984,unavail,driver,0,4,45:20:01
114,55+,52.382,Not_Survived,none,none,1,m,67,1997,1987,unavail,driver,0,4,45:46:01
115,25-39,76.31,Not_Survived,none,none,1,f,73,1997,1990,unavail,pass,0,3,45:55:02
116,25-39,45.255,Not_Survived,none,belted,0,f,82,1997,1992,unavail,pass,0,4,45:78:1
117,24-Oct,45.255,Not_Survived,none,none,0,m,24,1997,1985,unavail,pass,0,4,45:90:1
118,55+,45.255,Not_Survived,none,none,0,m,83,1997,1986,unavail,driver,0,4,45:96:1
119,40-54,45.255,Not_Survived,none,none,1,m,25,1997,1989,unavail,driver,0,4,45:102:1
120,25-39,45.255,Not_Survived,none,belted,0,m,16,1997,1994,unavail,driver,0,4,45:138:1
121,55+,48.592,Not_Survived,none,belted,1,f,33,1997,1987,unavail,driver,0,4,45:193:1
122,24-Oct,83.947,Not_Survived,none,none,1,m,65,1997,1979,unavail,driver,0,3,45:196:1
123,55+,59.623,Not_Survived,none,belted,1,f,16,1997,1990,unavail,driver,0,4,45:216:1
124,40-54,237.288,Not_Survived,none,belted,0,m,23,1997,1992,unavail,pass,0,4,48:21:01
125,55+,237.288,Not_Survived,none,none,1,m,44,1997,1979,unavail,driver,0,4,48:64:1
126,55+,298.291,Not_Survived,none,none,1,m,35,1997,1997,unavail,driver,0,4,48:129:1
127,40-54,237.288,Not_Survived,none,belted,0,f,43,1997,1993,unavail,driver,0,4,48:215:1
128,55+,23.172,Not_Survived,none,none,1,m,30,1997,1976,unavail,driver,0,4,49:09:01
129,55+,20.673,Not_Survived,airbag,belted,0,m,23,1997,1996,nodeploy,driver,0,4,49:17:01
130,40-54,13.414,Not_Survived,airbag,belted,0,m,19,1997,1994,deploy,driver,1,4,49:25:01
131,55+,8.578,Not_Survived,none,belted,0,m,19,1997,1984,unavail,driver,0,4,49:53:01
132,55+,8.578,Not_Survived,none,none,0,m,17,1997,1984,unavail,pass,0,4,49:53:01
133,40-54,8.578,Not_Survived,none,belted,0,m,73,1997,1986,unavail,driver,0,4,49:61:1
134,25-39,12.379,Not_Survived,none,none,1,m,26,1997,1986,unavail,driver,0,4,49:69:1
135,55+,8.578,Not_Survived,none,none,1,m,25,1997,1969,unavail,driver,0,4,49:73:1
136,25-39,8.578,Not_Survived,airbag,belted,0,f,24,1997,1996,deploy,driver,1,4,49:79:1
137,55+,10.637,Not_Survived,airbag,none,1,f,71,1997,1997,deploy,driver,1,4,49:97:1
138,55+,8.578,Not_Survived,none,none,0,m,46,1997,1987,unavail,driver,0,4,49:103:2
139,40-54,9.785,Not_Survived,none,none,1,m,21,1997,1992,unavail,driver,0,4,49:109:1
140,55+,16.39,Not_Survived,none,none,1,m,34,1997,1992,unavail,driver,0,4,49:113:1
141,55+,16.39,Not_Survived,none,none,1,f,31,1997,1992,unavail,pass,0,4,49:113:1
142,40-54,29.659,Not_Survived,none,belted,1,m,36,1997,1989,unavail,driver,0,4,49:117:2
143,55+,8.578,Not_Survived,none,none,1,f,58,1997,1981,unavail,driver,0,4,49:126:1
144,55+,10.087,Not_Survived,none,none,1,m,29,1997,1978,unavail,driver,0,4,49:137:1
145,55+,13.9,Not_Survived,none,none,1,m,23,1997,1988,unavail,driver,0,4,49:156:1
146,24-Oct,11.445,Not_Survived,airbag,belted,0,f,84,1997,1995,nodeploy,driver,0,4,49:173:1
147,40-54,11.445,Not_Survived,airbag,belted,0,f,71,1997,1993,nodeploy,driver,0,4,49:175:1
148,25-39,5.995,Not_Survived,none,belted,1,f,46,1997,1988,unavail,driver,0,4,49:189:1
149,55+,15.84,Not_Survived,none,none,1,m,41,1997,1983,unavail,driver,0,3,72:65:1
150,55+,2.402,Not_Survived,none,none,0,f,33,1997,1985,unavail,driver,0,4,72:82:1
151,40-54,13.968,Not_Survived,airbag,none,1,m,73,1997,1995,deploy,driver,1,4,72:99:1
152,40-54,14.184,Not_Survived,airbag,none,1,f,62,1997,1996,deploy,driver,1,4,72:103:1
153,25-39,6.83,Not_Survived,airbag,none,1,m,24,1997,1993,deploy,driver,1,4,72:105:1
154,24-Oct,3.935,Not_Survived,airbag,none,1,f,24,1997,1992,deploy,driver,1,4,72:126:1
155,40-54,13.968,Not_Survived,airbag,none,0,f,49,1997,1997,deploy,driver,1,4,72:137:1
156,55+,24.524,Not_Survived,none,none,1,m,75,1997,1982,unavail,driver,0,4,73:35:01
157,55+,24.524,Not_Survived,none,none,1,m,33,1997,1963,unavail,driver,0,4,73:35:02
158,55+,66.618,Not_Survived,none,none,0,f,57,1997,1981,unavail,driver,0,4,73:43:01
159,40-54,24.31,Not_Survived,airbag,none,0,f,34,1997,1995,deploy,driver,1,4,73:53:01
160,25-39,24.31,Not_Survived,none,none,0,m,75,1997,1989,unavail,driver,0,4,73:69:1
161,40-54,24.31,Not_Survived,airbag,none,0,m,20,1997,1990,deploy,driver,1,4,73:93:1
162,25-39,24.31,Not_Survived,airbag,none,0,m,40,1997,1992,deploy,driver,1,4,73:94:1
163,25-39,24.31,Not_Survived,none,none,0,f,57,1997,1992,unavail,pass,0,4,73:94:1
164,25-39,24.31,Not_Survived,none,belted,1,f,50,1997,1991,unavail,driver,0,4,73:95:1
165,25-39,24.31,Not_Survived,none,none,1,m,32,1997,1986,unavail,driver,0,4,73:99:1
166,40-54,24.31,Not_Survived,none,belted,1,m,63,1997,1992,unavail,driver,0,4,73:100:2
167,25-39,24.31,Not_Survived,none,none,0,f,49,1997,1992,unavail,driver,0,4,73:103:1
168,24-Oct,141.241,Not_Survived,airbag,none,1,m,53,1997,1996,nodeploy,driver,0,4,73:127:1
169,40-54,41.742,Not_Survived,none,none,1,m,74,1997,1988,unavail,driver,0,3,73:146:1
170,40-54,24.675,Not_Survived,none,none,0,m,34,1997,1987,unavail,driver,0,4,73:157:1
171,55+,89.681,Not_Survived,none,belted,0,f,33,1997,1994,unavail,driver,0,4,73:169:1
172,55+,89.681,Not_Survived,none,none,0,f,57,1997,1994,unavail,pass,0,4,73:169:1
173,55+,17.582,Not_Survived,none,none,1,f,59,1997,1992,unavail,driver,0,4,74:20:01
174,40-54,14.037,Not_Survived,none,none,0,m,35,1997,1971,unavail,driver,0,4,74:22:01
175,55+,14.16,Not_Survived,none,none,1,m,36,1997,1981,unavail,driver,0,4,74:30:01
176,24-Oct,14.037,Not_Survived,none,belted,0,f,73,1997,1984,unavail,pass,0,4,74:54:01
177,40-54,15.897,Not_Survived,none,none,1,f,17,1997,1986,unavail,pass,0,4,74:58:01
178,55+,14.037,Not_Survived,none,none,0,m,17,1997,1979,unavail,driver,0,4,74:86:2
179,55+,14.037,Not_Survived,airbag,belted,0,f,25,1997,1995,deploy,driver,1,4,74:148:1
180,55+,15.695,Not_Survived,none,belted,1,m,18,1997,1990,unavail,pass,0,4,74:157:1
181,55+,14.037,Not_Survived,none,none,0,m,77,1997,1989,unavail,driver,0,4,74:164:1
182,25-39,14.037,Not_Survived,none,none,0,f,50,1997,1989,unavail,pass,0,4,74:165:1
183,55+,45.249,Not_Survived,none,belted,0,m,56,1997,1986,unavail,driver,0,4,75:24:01
184,55+,48.38,Not_Survived,none,none,1,m,21,1997,1977,unavail,driver,0,4,75:37:01
185,55+,48.38,Not_Survived,none,none,1,m,21,1997,1977,unavail,pass,0,4,75:37:01
186,25-39,45.249,Not_Survived,none,none,1,m,36,1997,1983,unavail,driver,0,4,75:79:1
187,25-39,45.249,Not_Survived,none,belted,1,f,74,1997,1994,unavail,driver,0,4,75:97:2
188,40-54,45.249,Not_Survived,none,belted,1,f,81,1997,1980,unavail,driver,0,4,75:151:1
189,25-39,45.249,Not_Survived,none,belted,1,m,79,1997,1982,unavail,driver,0,4,75:181:1
190,40-54,45.249,Not_Survived,airbag,none,1,m,80,1997,1991,deploy,driver,1,4,75:188:1
191,55+,61.504,Not_Survived,none,none,1,m,52,1997,1978,unavail,driver,0,4,78:02:01
192,40-54,66.808,Not_Survived,airbag,belted,1,m,81,1997,1996,deploy,driver,1,4,78:09:02
193,24-Oct,61.504,Not_Survived,none,belted,1,f,53,1997,1989,unavail,driver,0,4,78:13:02
194,25-39,69.268,Not_Survived,none,none,1,f,82,1997,1988,unavail,driver,0,4,78:15:01
195,24-Oct,59.983,Not_Survived,none,none,1,m,73,1997,1985,unavail,driver,0,4,78:25:02
196,24-Oct,59.983,Not_Survived,none,none,1,f,72,1997,1985,unavail,pass,0,4,78:25:02
197,55+,61.504,Not_Survived,none,none,0,f,30,1997,1988,unavail,driver,0,4,78:27:01
198,55+,61.504,Not_Survived,none,none,0,f,58,1997,1988,unavail,pass,0,4,78:27:01
199,55+,61.504,Not_Survived,none,belted,0,m,86,1997,1990,unavail,driver,0,4,78:71:1
200,55+,61.504,Not_Survived,none,belted,0,f,87,1997,1990,unavail,pass,0,4,78:71:1
201,55+,80.8,Not_Survived,none,belted,1,m,26,1997,1978,unavail,driver,0,4,78:141:2
202,25-39,8.481,Not_Survived,none,none,1,m,18,1997,1985,unavail,driver,0,4,79:08:01
203,55+,5.911,Not_Survived,none,belted,0,f,76,1997,1985,unavail,driver,0,4,79:36:02
204,24-Oct,5.911,Not_Survived,none,none,1,m,40,1997,1969,unavail,driver,0,4,79:37:02
205,40-54,5.324,Not_Survived,none,belted,0,f,52,1997,1989,unavail,pass,0,4,79:41:01
206,40-54,4.288,Not_Survived,airbag,belted,0,m,36,1997,1991,deploy,driver,1,4,79:54:01
207,40-54,4.288,Not_Survived,none,none,1,f,59,1997,1975,unavail,pass,0,4,79:58:01
208,55+,4.288,Not_Survived,none,belted,1,m,29,1997,1987,unavail,pass,0,4,79:59:01
209,25-39,4.026,Not_Survived,airbag,belted,1,f,74,1997,1995,deploy,pass,1,3,79:75:1
210,55+,3.035,Not_Survived,none,none,1,m,20,1997,1988,unavail,driver,0,4,79:82:1
211,25-39,4.288,Not_Survived,airbag,belted,1,m,37,1997,1993,deploy,driver,1,4,79:109:1
212,40-54,4.288,Not_Survived,none,none,1,m,42,1997,1984,unavail,driver,0,4,79:116:1
213,25-39,4.288,Not_Survived,none,belted,0,f,81,1997,1987,unavail,pass,0,4,79:140:1
214,24-Oct,4.288,Not_Survived,none,belted,1,f,97,1997,1983,unavail,driver,0,4,79:146:1
215,25-39,4.288,Not_Survived,none,none,0,m,19,1997,1989,unavail,driver,0,4,79:180:1
216,24-Oct,37.13,Not_Survived,none,none,0,m,57,1997,1982,unavail,driver,0,4,81:42:01
217,25-39,14.189,Not_Survived,none,none,0,m,25,1997,1982,unavail,driver,0,4,81:60:1
218,24-Oct,12.978,Not_Survived,none,none,1,m,46,1997,1980,unavail,driver,0,4,81:72:1
219,25-39,8.753,Not_Survived,none,none,0,f,16,1997,1991,unavail,pass,0,4,82:01:01
220,24-Oct,4.734,Not_Survived,none,none,1,f,63,1997,1990,unavail,pass,0,3,82:13:02
221,55+,5.531,Not_Survived,airbag,belted,1,f,19,1997,1996,deploy,pass,1,4,82:29:01
222,40-54,5.531,Not_Survived,airbag,belted,1,m,61,1997,1992,deploy,driver,1,4,82:186:2
223,25-39,5.531,Not_Survived,none,belted,1,m,43,1997,1991,unavail,driver,0,4,82:214:1
224,55+,21.865,Not_Survived,airbag,belted,1,m,34,1998,1995,deploy,driver,1,4,0.16599537
225,24-Oct,21.865,Not_Survived,airbag,belted,1,f,30,1998,1995,deploy,driver,1,4,0.186122685
226,40-54,41.008,Not_Survived,airbag,belted,1,m,51,1998,1995,deploy,driver,1,4,0.190300926
227,25-39,13.284,Not_Survived,airbag,none,0,m,28,1998,1999,deploy,pass,1,4,3:30:01
228,40-54,14.283,Not_Survived,none,belted,1,m,72,1998,1986,unavail,driver,0,4,4:03:01
229,24-Oct,10.8,Not_Survived,airbag,none,1,f,71,1998,1993,deploy,driver,1,4,4:04:01
230,40-54,10.8,Not_Survived,none,none,0,m,73,1998,1989,unavail,driver,0,4,4:32:01
231,40-54,10.8,Not_Survived,none,belted,0,f,74,1998,1989,unavail,pass,0,4,4:32:01
232,55+,10.8,Not_Survived,airbag,none,1,m,22,1998,1995,deploy,driver,1,4,0.211122685
233,55+,10.8,Not_Survived,none,none,1,m,49,1998,1978,unavail,driver,0,4,0.21806713
234,25-39,10.8,Not_Survived,none,none,0,m,37,1998,1986,unavail,driver,0,4,0.223622685
235,24-Oct,47.997,Not_Survived,none,belted,1,f,68,1998,1988,unavail,driver,0,3,0.225011574
236,25-39,10.8,Not_Survived,none,none,1,m,53,1998,1982,unavail,driver,0,4,0.231261574
237,24-Oct,28.08,Not_Survived,none,none,1,m,51,1998,1988,unavail,driver,0,4,0.245150463
238,40-54,30.968,Not_Survived,none,belted,1,m,51,1998,1982,unavail,driver,0,4,0.252094907
239,40-54,23.026,Not_Survived,airbag,belted,1,f,72,1998,1997,deploy,pass,1,4,0.261122685
240,25-39,59.078,Not_Survived,none,none,1,m,20,1998,1994,unavail,driver,0,3,5:02:01
241,25-39,23.584,Not_Survived,airbag,none,1,m,32,1998,1995,deploy,driver,1,4,5:12:01
242,25-39,23.584,Not_Survived,airbag,none,1,m,42,1998,1995,deploy,pass,1,4,5:12:01
243,55+,23.584,Not_Survived,none,belted,0,m,26,1998,1988,unavail,driver,0,4,5:20:02
244,55+,23.584,Not_Survived,none,belted,0,m,26,1998,1988,unavail,pass,0,4,5:20:02
245,25-39,27.283,Not_Survived,none,none,0,m,37,1998,1990,unavail,driver,0,4,5:41:01
246,40-54,27.283,Not_Survived,none,none,1,f,57,1998,1986,unavail,driver,0,4,5:43:01
247,55+,27.283,Not_Survived,none,belted,1,f,45,1998,1991,unavail,driver,0,4,5:43:02
248,40-54,23.584,Not_Survived,airbag,none,1,f,24,1998,1994,deploy,driver,1,4,5:45:01
249,55+,90.091,Not_Survived,airbag,none,1,m,27,1998,1994,deploy,driver,1,4,0.288206019
250,55+,131.127,Not_Survived,none,none,1,m,72,1998,1991,unavail,driver,0,4,0.309050926
251,55+,9.269,Not_Survived,none,none,0,f,18,1998,1986,unavail,pass,0,4,6:13:01
252,40-54,9.269,Not_Survived,none,none,1,m,16,1998,1987,unavail,driver,0,4,6:14:01
253,40-54,9.269,Not_Survived,none,none,1,f,17,1998,1987,unavail,pass,0,4,6:14:01
254,55+,9.269,Not_Survived,none,none,1,f,23,1998,1986,unavail,pass,0,4,6:14:02
255,55+,14.433,Not_Survived,airbag,none,0,m,27,1998,1993,deploy,driver,1,4,6:16:01
256,55+,9.574,Not_Survived,none,none,0,m,18,1998,1987,unavail,pass,0,4,0.291689815
257,40-54,17.492,Not_Survived,airbag,none,1,m,47,1998,1997,deploy,driver,1,4,0.345150463
258,24-Oct,17.492,Not_Survived,none,belted,1,f,44,1998,1994,unavail,pass,0,4,0.345844907
259,25-39,8.524,Not_Survived,none,none,1,f,18,1998,1989,unavail,driver,0,4,0.346539352
260,55+,16.061,Not_Survived,airbag,none,1,m,29,1998,1997,deploy,driver,1,4,0.352094907
261,25-39,22.625,Not_Survived,airbag,belted,0,f,39,1998,1992,deploy,driver,1,4,8:44:01
262,25-39,22.625,Not_Survived,none,none,1,f,77,1998,1985,unavail,driver,0,4,0.382650463
263,55+,66.292,Not_Survived,airbag,none,1,m,24,1998,1998,deploy,driver,1,4,0.419456019
264,40-54,66.292,Not_Survived,none,none,1,m,72,1998,1988,unavail,driver,0,4,0.470844907
265,40-54,37.202,Not_Survived,none,none,0,m,80,1998,1986,unavail,driver,0,4,9:06:01
266,25-39,29.841,Not_Survived,none,none,0,m,28,1998,1984,unavail,driver,0,4,9:40:01
267,55+,20.413,Not_Survived,airbag,belted,1,m,30,1998,1998,deploy,driver,1,4,9:53:01
268,40-54,20.413,Not_Survived,none,none,1,f,40,1998,1983,unavail,driver,0,4,9:57:01
269,40-54,20.413,Not_Survived,none,none,1,m,40,1998,1983,unavail,pass,0,4,9:57:01
270,55+,18.708,Not_Survived,none,none,0,m,44,1998,1993,unavail,driver,0,3,0.423622685
